title,event,place
Ben NEIGHBOUR - N009,individual_male,1
Hunter BLACK - B643,individual_male,2
Lachlan LOVE - L040,individual_male,3
Tom CLINTON - C607,individual_male,4
Oliver WHITE - W624,individual_male,5
James Alexander RILEY - R631,individual_male,6
Sinclair BLACK - B044,individual_male,7
Lachlan MAH-CHUT - M614,individual_male,8
Jayden YUI - Y602,individual_male,9
Ryan WALSH - W627,individual_male,10
Milla BLACK - B602,individual_female,1
Annabelle ASPINALL - A621,individual_female,2
Stephanie DARLEY - D608,individual_female,3
Samuel HILL - H611,team_male,1
Axel BAILEY - B601,team_male,1
Hadley Catherine BLACK - B303,team_female,1
Jessica SHANNON - S313,team_female,1
Rosemary SHANNON - S340,team_female,1
Karen Elizabeth BEGG - B388,team_female,1
Megan RUMFORD - R611,team_female,2
Mackenzie ARGENT - A608,team_female,2
Lilian HUNTLEY - H604,team_female,3
Meg SHEILDS - S624,team_female,3
Zara MCKENZIE - MC621,team_female,3
Alys WEISS - W628,team_female,3
Fiona RAE - R306,team_mixed,1
Jasmin ROBINSON - R620,team_mixed,1
Timothy GATES - G043,team_mixed,1
Stephen FORD - F649,team_mixed,1
Larissa BUTLER - B651,team_mixed,2
Michael WARK - W614,team_mixed,2
Fabian SCHIPPER - S606,team_mixed,2
Axel PAPE - P602,team_mixed,3
Christine MCGOLDRICK - MC620,team_mixed,3
Victoria MATHEWS - M602,team_mixed,3
Gordon LANG - L008,team_mixed,3
Nicholas ANDERSON - A615,team_mixed,4
Lucinda DUNLOP - D609,team_mixed,4
Cormac STEWART - S610,team_mixed,4
Theodore HANDBURY - H616,team_mixed,4
Jessica RICH - R616,team_mixed,5
Jake CARMODY - C630,team_mixed,5
Saul Walter BROWN - B060,team_family,1
